lab_ID,field_ID,host_species,age,sampling_date,location,location_notes,lat,long,test_date,sample_ABS,neg_ctrl,S_N_ratio,result,replicate
CO-095,1987-20888,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.09956,0.99258,0.1003,Pos,1
CO-096,2007-28510,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.14773,0.99258,0.14883,Pos,1
CO-097,2007-28518,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.1815,0.99258,0.18285,Pos,1
CO-098,2007-28525,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.72067,0.99258,0.72605,Neg,1
CO-099,1987-21624,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.25837,0.99258,0.2603,Pos,1
CO-100,2007-28536,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.95268,0.99258,0.9598,Neg,1
CO-101,2007-28541,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.87623,0.99258,0.88278,Neg,1
CO-102,1987-20773,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.30901,0.99258,0.31132,Pos,1
CO-103,2007-28625,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.85468,0.99258,0.86107,Neg,1
CO-104,2007-28627,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.5377,0.99258,0.54172,Neg,1
CO-105,2007-28628,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.97742,0.99258,0.98472,Neg,1
CO-106,1987-13685,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.13027,0.99258,0.13124,Pos,1
CO-107,1987-09573,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.93663,0.99258,0.94363,Neg,1
